HIP,RAJ2000,DEJ2000,Dist,Teff,mag,Lum,Mass,Rad,CHZ,OHZ,plx
63816,13 04 46.7721,+55 54 09.8081,33.0,3400,10.7917,0.218,0.24,1.3,0.5,0.6,30.63
63817,13 04 46.5647,+37 05 58.7084,260.0,5931,10.7619,3.24,1.12,1.7,1.3,1.8,3.8
63828,13 04 54.9350,-76 38 57.8505,140.0,6565,8.7665,5.7,1.4,1.8,1.6,2.2,7.01
63829,13 04 55.2554,+17 51 08.6495,211.0,5767,10.5465,2.6,1.0,1.6,1.2,1.6,4.73
63830,13 04 55.5648,+24 37 48.0589,1400.0,6210,10.6832,94.0,1.3,8.4,7.0,9.0,0.7
63831,13 04 55.8013,-28 55 43.3304,48.0,5088,9.8638,0.317,0.814,0.725,0.4,0.6,20.85
63834,13 04 58.7969,+31 43 26.3299,650.0,6230,10.5122,23.0,1.3,4.14,3.0,5.0,1.54
63835,13 04 58.8541,-61 31 00.1166,84.0,4004,13.0747,0.16,0.55,0.83,0.4,0.5,11.84
63836,13 04 59.4717,-47 23 48.3822,107.0,6501,9.1014,2.4,1.4,1.22,1.0,1.5,9.31
63837,13 05 00.5500,+64 35 41.6296,110.0,5262,9.6,1.7,0.86,1.6,1.0,1.4,9.12
63840,13 05 02.1128,-17 40 40.2780,71.9,5852,8.22,2.7,1.09,1.6,1.2,1.6,13.9
63841,13 05 01.8516,-46 33 48.3531,180.0,6699,8.3439,11.8,1.4,2.5,2.3,3.0,5.71
63842,13 05 03.5503,+21 29 38.1591,290.0,6006,8.8436,21.8,1.16,4.3,3.0,5.0,3.48
63843,13 05 03.6501,+23 50 24.4329,300.0,6386,9.7633,9.6,1.4,2.5,2.1,3.0,3.38
63844,13 05 03.9788,+62 46 23.9725,130.0,6020,8.7594,5.0,1.17,2.06,1.6,2.2,7.53
63846,13 05 05.2333,-30 11 49.8403,314.0,6623,9.6449,12.1,1.4,2.6,2.3,3.0,3.18
63847,13 05 05.3363,-64 13 55.1354,120.0,5287,9.3221,3.0,0.87,2.05,1.3,1.8,8.35
63849,13 05 06.6982,-47 07 00.5782,100.0,6605,6.534,21.3,1.4,3.5,3.0,4.0,9.9
63851,13 05 10.5240,-28 31 03.0171,75.0,4950,7.8483,5.8,0.78,3.3,2.0,3.0,13.42
63853,13 05 10.7633,-54 16 46.4947,390.0,6377,9.6206,19.0,1.4,3.6,3.0,4.0,2.59
63860,13 05 16.2339,-39 47 42.8645,100.0,5895,9.5798,1.6,1.11,1.21,0.9,1.3,9.6
63861,13 05 16.8325,-37 39 10.1917,105.0,5821,9.635,1.5,1.07,1.22,0.9,1.3,9.52
63862,13 05 16.9311,-50 51 23.7821,49.0,5694,8.4631,1.0,1.0,1.0,0.7,1.0,20.41
63863,13 05 17.2479,-44 41 45.7089,230.0,7170,9.4972,7.1,1.6,1.7,1.7,2.4,4.38
63864,13 05 17.3670,-49 47 53.5393,130.0,6462,9.2688,3.07,1.4,1.4,1.2,1.7,7.63
63865,13 05 18.7963,+13 17 03.5268,170.0,6261,10.9227,1.11,1.3,0.9,0.7,1.0,5.93
63866,13 05 19.7389,-39 13 19.3501,180.0,5419,9.7805,4.5,0.913,2.4,1.6,2.2,5.48
63867,13 05 21.8632,-08 08 58.5503,180.0,6437,8.8663,8.7,1.4,2.4,2.0,3.0,5.43
63870,13 05 25.7365,+18 34 51.4669,140.0,5608,9.4364,3.3,0.98,1.9,1.4,1.9,7.25
63873,13 05 27.0083,-10 19 29.6863,160.0,5858,10.6808,1.3,1.09,1.12,0.8,1.2,6.31
63874,13 05 27.0900,+41 40 52.4091,123.0,6084,8.783,4.16,1.21,1.8,1.4,2.0,8.11
63875,13 05 27.3225,+10 23 12.8088,150.0,6309,9.4864,3.19,1.3,1.5,1.2,1.7,6.61
63876,13 05 27.4077,-02 33 26.9546,190.0,6656,8.4434,13.0,1.4,2.7,2.4,3.0,5.13
63878,13 05 28.5390,+14 43 31.6497,91.0,6049,8.0505,4.4,1.18,1.9,1.5,2.1,10.99
63879,13 05 28.7014,-18 58 45.1418,160.0,6214,8.7228,7.7,1.3,2.4,1.9,3.0,6.27
63880,13 05 29.6747,-59 16 50.8030,51.2,5306,9.3934,0.517,0.88,0.85,0.6,0.8,19.55
63884,13 05 31.2357,+01 47 59.8076,180.0,6099,10.2346,2.4,1.21,1.4,1.1,1.5,5.54
63886,13 05 32.6481,-58 32 07.8152,107.0,6872,8.2264,5.0,1.5,1.6,1.5,2.1,9.37
63889,13 05 35.8305,-22 04 16.7301,150.0,6222,7.4813,21.7,1.3,4.0,3.0,5.0,6.56
63890,13 05 36.9328,-35 12 35.7686,74.0,5709,9.1753,1.18,1.0,1.11,0.8,1.1,13.6
